Position,Const,Created,Modified,Description,Name,Known For,Birth Date
298,nm6224152,2021-10-08,2021-10-08,,"Paula Gallego","La pasajera","5 de febrero de 2004"
299,nm6906829,2021-10-08,2021-10-08,,"Annes Elwy","Little Women",
300,nm5304098,2021-10-08,2021-10-08,,"Sarah Perles","Au Pair",
301,nm4842197,2021-10-09,2021-10-09,,"Hayley Squires","I, Daniel Blake","16 de abril de 1988"
302,nm1443740,2021-10-14,2021-10-14,,"Zoe Kazan","Ruby Sparks","9 de septiembre de 1983"
303,nm0626259,2021-10-19,2021-10-19,,"Franco Nero","John Wick: Chapter 2","23 de noviembre de 1941"
304,nm0707728,2021-10-19,2021-10-19,,"Giovanna Ralli","C'eravamo tanto amati","2 de enero de 1935"
305,nm8928699,2021-10-20,2021-10-20,,"Keith Thomas","The Vigil",
306,nm0179281,2021-10-21,2021-10-21,,"Sergio Corbucci","Django","6 de diciembre de 1926"
307,nm1296762,2021-10-26,2021-10-26,,"Macarena Gómez","Musarañas","2 de febrero de 1978"
308,nm0581145,2021-10-26,2021-10-26,,"Raquel Meroño","Paco y Veva","8 de agosto de 1975"
309,nm4068901,2021-10-26,2021-10-26,,"Madison Wolfe","The Conjuring 2","16 de octubre de 2002"
310,nm6264850,2021-10-30,2021-10-30,,"Eliza Rycembel","Boze Cialo","1992"
311,nm11579814,2021-10-30,2021-10-30,,"Almudena Amor","El buen patrón","30 de marzo de 1994"
312,nm8594741,2021-10-30,2025-08-22,,"Karina Kolokolchykova","La abuela","1992"
313,nm8002173,2021-10-30,2021-10-30,,"Chacha Huang","La casa de papel","13 de noviembre"
314,nm7210986,2021-10-31,2021-10-31,,"Erin Kellyman","Solo: A Star Wars Story","17 de octubre de 1998"
315,nm4023073,2021-11-02,2021-11-02,,"Rosa Salazar","Alita: Battle Angel","16 de julio de 1985"
316,nm7084251,2021-11-02,2021-11-02,,"Skylar Radzion","John, 316",
317,nm3425340,2021-11-02,2021-11-02,,"Margarethe von Stern","The Day of the Purple Sun: Part II",
318,nm0001303,2021-11-03,2021-11-03,,"Carla Gugino","Watchmen","29 de agosto de 1971"
319,nm10814833,2021-11-08,2021-11-08,,"Maria Morera","Libertad",
320,nm8132285,2021-11-10,2021-11-10,,"Amalia Ulman","El Planeta","1989"
321,nm7107258,2021-11-14,2021-11-14,,"Elisabet Casanovas","La Ruta","15 de diciembre de 1994"
322,nm0542146,2021-11-20,2021-11-20,,"Silvana Mangano","Dune","21 de abril de 1930"
323,nm0942486,2021-11-20,2021-11-20,,"Jenny Wright","Near Dark","23 de marzo de 1962"
324,nm0000899,2021-11-28,2021-11-28,,"Monica Bellucci","Malèna","30 de septiembre de 1964"
325,nm0000124,2021-12-02,2021-12-02,,"Jennifer Connelly","A Beautiful Mind","12 de diciembre de 1970"
326,nm0647634,2021-12-07,2021-12-07,,"Elizabeth Olsen","Martha Marcy May Marlene","16 de febrero de 1989"
327,nm0000478,2021-12-19,2021-12-19,,"Tawny Kitaen","Bachelor Party","5 de agosto de 1961"
328,nm5157662,2021-12-22,2021-12-22,,"Lulu Wilson","The Haunting of Hill House","7 de octubre"
329,nm5301405,2021-12-29,2021-12-29,,"Mia Goth","Pearl","25 de octubre de 1993"
330,nm3830257,2022-01-01,2022-01-01,,"Melissa Villaseñor","Hoppers","9 de octubre de 1987"
331,nm0150014,2022-01-12,2022-01-12,,"Pauline Challoner","One Step Beyond","1951"
332,nm0661192,2022-01-12,2022-01-12,,"Conchita Paredes","La residencia",
333,nm0554718,2022-01-12,2022-01-12,,"Maribel Martín","El juglar y la reina","1 de noviembre de 1954"
334,nm7393303,2022-01-14,2022-01-14,,"Sophie Thatcher","Companion","18 de octubre de 2000"
335,nm1555340,2022-01-14,2022-01-14,,"Alison Brie","GLOW","29 de diciembre de 1982"
336,nm5376319,2022-01-28,2022-01-28,,"Alisa Torres","Please Baby Please",
337,nm0000193,2022-01-28,2022-01-28,,"Demi Moore","Striptease","11 de noviembre de 1962"
338,nm0200680,2022-02-07,2022-02-07,,"Lise Danvers","Contes immoraux",
339,nm0018823,2022-02-07,2022-02-07,,"Charlotte Alexandra","Une vraie jeune fille",
340,nm0683831,2022-02-10,2022-02-10,,"Silvia Pinal","Viridiana","12 de septiembre de 1931"
341,nm3907977,2022-02-11,2022-02-11,,"Sophie Kargman","Query",
342,nm9476408,2022-03-01,2022-03-01,,"Hunter Schafer","Euphoria","31 de diciembre de 1998"
343,nm0740760,2022-03-06,2022-03-06,,"Mireia Ros","La Moños","3 de diciembre de 1956"
344,nm0508835,2022-03-06,2022-03-06,,"Eva Lyberten","Samanka","20 de diciembre de 1958"
345,nm0650449,2022-03-06,2022-03-06,,"Alicia Orozco","Los violadores del amanecer",
346,nm0493473,2022-03-06,2022-03-06,,"Linda Lay","Los violadores del amanecer",
347,nm0763768,2022-03-22,2022-03-22,,"Inma de Santis","La duda","24 de febrero de 1959"
348,nm3920288,2022-03-28,2022-03-28,,"Taissa Farmiga","The Final Girls","17 de agosto de 1994"
349,nm0438585,2022-03-31,2022-03-31,,"Valérie Kaprisky","Breathless","19 de agosto de 1962"
350,nm1799971,2022-04-08,2022-04-08,,"Marta Hazas","Amigos hasta la muerte","31 de diciembre de 1977"
351,nm0729252,2022-04-08,2022-04-08,,"Elena Rivera","Sequía","29 de agosto de 1992"
352,nm11778190,2022-04-13,2022-04-13,,"Rosalía Mira","Ella solo come carne",
353,nm4487976,2022-04-17,2022-04-17,,"Maddie Hasson","Elevation","4 de enero de 1995"
354,nm1132359,2022-04-28,2022-04-28,,"Summer Glau","Serenity","24 de julio de 1981"
355,nm1083430,2022-04-29,2022-04-29,,"Yoima Valdés","Agua con sal",
356,nm0785897,2022-04-29,2022-04-29,,"Nathalie Seseña","La Celestina","1967"
357,nm0000379,2022-05-01,2022-05-01,,"Kirsten Dunst","Spider-Man","30 de abril de 1982"
358,nm0274216,2022-05-01,2022-05-01,,"Rebecca Ferratti","Ace Ventura: Pet Detective","27 de noviembre de 1964"
359,nm1373106,2022-05-01,2022-05-01,,"Lali Espósito","Permitidos","10 de octubre de 1991"
360,nm6351089,2022-05-07,2022-05-07,,"Millie Brady","Roadkill","24 de diciembre de 1993"
361,nm0135037,2022-05-12,2022-05-12,,"Barbara Capell","L'éducation sentimentale","23 de enero de 1950"
362,nm0546556,2022-05-15,2022-05-15,,"Leticia Marfil","Mil gritos tiene la noche",
363,nm0303756,2022-05-15,2022-05-15,,"Silvia Gambino","Mil gritos tiene la noche","1 de enero de 1965"
364,nm0631331,2022-05-15,2022-05-15,,"Roxana Nieto","Mil gritos tiene la noche",
365,nm2539953,2022-05-19,2022-05-19,,"Alicia Vikander","Ex Machina","3 de octubre de 1988"
366,nm0616766,2022-05-19,2022-05-19,,"Kim Myers","A Nightmare on Elm Street Part 2: Freddy's Revenge","15 de febrero de 1966"
367,nm0005060,2022-05-24,2022-05-24,,"Kristen Johnston","Austin Powers: The Spy Who Shagged Me","20 de septiembre de 1967"
368,nm2028131,2022-06-02,2022-06-02,,"Adriana Torrebejano","La sombra de la ley","3 de noviembre de 1991"
369,nm0898288,2022-06-06,2022-06-06,,"Denis Villeneuve","Dune: Part One","3 de octubre de 1967"
370,nm0397171,2022-06-08,2022-06-08,,"Bryce Dallas Howard","Jurassic World: Dominion","2 de marzo de 1981"
371,nm0893638,2022-06-08,2022-06-08,,"Natalia Verbeke","El otro lado de la cama","23 de febrero de 1975"
372,nm8402992,2022-06-14,2022-06-14,,"Daisy Edgar-Jones","Normal People","24 de mayo de 1998"
373,nm10620978,2022-06-18,2022-06-18,,"Sidney Flanigan","Never Rarely Sometimes Always","19 de octubre de 1998"
374,nm7867621,2022-06-18,2022-06-18,,"Talia Ryder","Never Rarely Sometimes Always","16 de agosto de 2002"
375,nm0286579,2022-06-22,2022-06-22,,"Verónica Forqué","¿Qué he hecho YO para merecer esto!!","1 de diciembre de 1955"
376,nm1105980,2022-06-29,2022-06-29,,"Kathryn Newton","Ant-Man and the Wasp: Quantumania","8 de febrero"
377,nm0092608,2022-07-04,2022-07-04,,"Jenovéfa Boková","Chvilky","16 de mayo de 1992"
378,nm3987673,2022-07-05,2022-07-05,,"Ariane Labed","Assassin's Creed","8 de mayo de 1984"
379,nm3272744,2022-07-05,2022-07-05,,"Fatma Mohamed","In Fabric","4 de septiembre de 1975"
380,nm0219827,2022-07-06,2022-07-06,,"Donna Denton","Outlaw of Gor",
381,nm2251731,2022-07-09,2022-07-09,,"Aya Cash","The Boys","13 de julio"
382,nm9306091,2022-07-10,2022-07-10,,"Amaryllis Tremblay","Six Degrés",
383,nm1361837,2022-07-11,2022-07-11,,"Natalia Sánchez","Sueños de libertad","27 de marzo de 1990"
384,nm0845189,2022-07-11,2022-07-11,,"Verónica Sánchez","Gordos","1 de julio de 1977"
385,nm0000043,2022-07-11,2022-07-11,,"Veronica Lake","Sullivan's Travels","14 de noviembre de 1922"
386,nm2414781,2022-07-16,2022-07-16,,"Laura de la Isla","Barcelona, nit d'hivern","1987"
387,nm0001159,2022-07-16,2022-07-16,,"Faye Dunaway","Bonnie and Clyde","14 de enero de 1941"
388,nm0000303,2022-07-18,2022-07-18,,"Honor Blackman","Goldfinger","22 de agosto de 1925"
389,nm0247881,2022-07-18,2022-07-18,,"Shirley Eaton","Goldfinger","12 de enero de 1937"
390,nm1690270,2022-08-04,2022-08-04,,"Amber Midthunder","Prey","26 de abril"
391,nm0000805,2022-08-10,2022-08-10,,"Claudine Auger","Thunderball","26 de abril de 1941"
392,nm0000079,2022-08-12,2022-08-12,,"Raquel Welch","The Three Musketeers","5 de septiembre de 1940"
393,nm0284315,2022-08-16,2022-08-16,,"Alison Folland","To Die For","10 de agosto de 1978"
